version,event_type,body.lock.id,body.lock.type,body.lock.status,body.battery_status.low_battery,body.battery_status.remaining_battery,body.battery_status.charging,body.location.geo.lat,body.location.geo.lng,body.location.geo.speed,body.signalStrength,body.timestamp,body.connection_status,body.severity,body.request_id,body.channel,body.user.type,body.user.id,Timestamp,Topic
V:6.1.0,MOTION_DETECTED,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,27,1721367449000.0,ONLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 11:07:31,topic/1/client/860181068984092/subscribe
V:6.1.0,LOCK_CLOSED,860181068984092,ELOCK,CLOSE,False,100,True,0,0,0,20,1721370951000.0,ONLINE,HIGH,,MQTT,MQTT,860181068984092,2024-07-19 12:05:55,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,100,True,0,0,0,21,1721370956000.0,ONLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:05:59,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,86,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,88,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,88,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,88,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:04,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,89,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NO_MOTION_DETECTED,860181068984092,ELOCK,CLOSE,False,90,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,90,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,91,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,91,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,91,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,91,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,92,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,92,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,92,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:10,topic/1/client/860181068984092/subscribe
V:6.1.0,NOTIFICATION,860181068984092,ELOCK,CLOSE,False,92,True,0,0,0,22,1721370960000.0,OFFLINE,LOW,,MQTT,MQTT,860181068984092,2024-07-19 12:06:17,topic/1/client/860181068984092/subscribe
